Match_Num,Match_date,Winning_Team,Losing_Team,Venue,Result
1,2023-03-23,"Gujarat Titans","Chennai Super Kings","Narendra Modi Stadium","Won by 5 Wickets"
2,2023-03-24,"Punjab Kings","Kolkata Knight Riders","Punjab Cricket Association IS Bindra Stadium","Won by 7 Runs"
3,2023-03-25,"Lucknow Super Giants","Delhi Capitals","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Won by 50 Runs"
4,2023-03-25,"Rajasthan Royals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium","Won by 72 Runs"
5,2023-03-26,"Royal Challengers Bangalore","Mumbai Indians","M Chinnaswamy Stadium","Won by 8 Wickets"
6,2023-03-27,"Chennai Super Kings","Lucknow Super Giants","MA Chidambaram Stadium","Won by 12 Runs"
7,2023-03-28,"Gujarat Titans","Delhi Capitals","Arun Jaitley Stadium","Won by 6 Wickets"
8,2023-03-29,"Punjab Kings","Rajasthan Royals","Barsapara Cricket Stadium","Won by 5 Runs"
9,2023-03-29,"Kolkata Knight Riders","Royal Challengers Bangalore","Eden Gardens","Won by 81 Runs"
10,2023-03-30,"Lucknow Super Giants","Sunrisers Hyderabad","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Won by 5 Wickets"
11,2023-03-31,"Rajasthan Royals","Delhi Capitals","Barsapara Cricket Stadium","Won by 57 Runs"
12,2023-04-01,"Chennai Super Kings","Mumbai Indians","Wankhede Stadium","Won by 7 Wickets"
13,2023-04-02,"Kolkata Knight Riders","Gujarat Titans","Narendra Modi Stadium","Won by 3 Wickets"
14,2023-04-03,"Sunrisers Hyderabad","Punjab Kings","Rajiv Gandhi International Stadium","Won by 8 Wickets"
15,2023-04-03,"Lucknow Super Giants","Royal Challengers Bangalore","M Chinnaswamy Stadium","Won by 1 Wickets"
16,2023-04-04,"Mumbai Indians","Delhi Capitals","Arun Jaitley Stadium","Won by 6 Wickets"
17,2023-04-05,"Rajasthan Royals","Chennai Super Kings","MA Chidambaram Stadium","Won by 3 Runs"
18,2023-04-06,"Gujarat Titans","Punjab Kings","Punjab Cricket Association IS Bindra Stadium","Won by 6 Wickets"
19,2023-04-07,"Sunrisers Hyderabad","Kolkata Knight Riders","Eden Gardens","Won by 23 Runs"
20,2023-04-08,"Royal Challengers Bangalore","Delhi Capitals","M Chinnaswamy Stadium","Won by 23 Runs"
21,2023-04-08,"Punjab Kings","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Won by 2 Wickets"
22,2023-04-09,"Mumbai Indians","Kolkata Knight Riders","Wankhede Stadium","Won by 5 Wickets"
23,2023-04-10,"Rajasthan Royals","Gujarat Titans","Narendra Modi Stadium","Won by 3 Wickets"
24,2023-04-11,"Chennai Super Kings","Royal Challengers Bangalore","M Chinnaswamy Stadium","Won by 8 Runs"
25,2023-04-12,"Mumbai Indians","Sunrisers Hyderabad","Rajiv Gandhi International Stadium","Won by 14 Runs"
26,2023-04-12,"Lucknow Super Giants","Rajasthan Royals","Sawai Mansingh Stadium","Won by 10 Runs"
27,2023-04-13,"Royal Challengers Bangalore","Punjab Kings","Punjab Cricket Association IS Bindra Stadium","Won by 24 Runs"
28,2023-04-13,"Delhi Capitals","Kolkata Knight Riders","Arun Jaitley Stadium","Won by 4 Wickets"
29,2023-04-14,"Chennai Super Kings","Sunrisers Hyderabad","MA Chidambaram Stadium","Won by 7 Wickets"
30,2023-04-15,"Gujarat Titans","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Won by 7 Runs"
31,2023-04-16,"Punjab Kings","Mumbai Indians","Wankhede Stadium","Won by 13 Runs"
32,2023-04-17,"Royal Challengers Bangalore","Rajasthan Royals","M Chinnaswamy Stadium","Won by 7 Runs"
33,2023-04-18,"Chennai Super Kings","Kolkata Knight Riders","Eden Gardens","Won by 49 Runs"
34,2023-04-19,"Delhi Capitals","Sunrisers Hyderabad","Rajiv Gandhi International Stadium","Won by 7 Runs"
35,2023-04-20,"Gujarat Titans","Mumbai Indians","Narendra Modi Stadium","Won by 55 Runs"
36,2023-04-21,"Kolkata Knight Riders","Royal Challengers Bangalore","M Chinnaswamy Stadium","Won by 21 Runs"
37,2023-04-22,"Rajasthan Royals","Chennai Super Kings","Sawai Mansingh Stadium","Won by 32 Runs"
38,2023-04-23,"Lucknow Super Giants","Punjab Kings","Punjab Cricket Association IS Bindra Stadium","Won by 56 Runs"
39,2023-04-24,"Gujarat Titans","Kolkata Knight Riders","Eden Gardens","Won by 7 Wickets"
40,2023-04-25,"Sunrisers Hyderabad","Delhi Capitals","Arun Jaitley Stadium","Won by 9 Runs"
41,2023-04-25,"Punjab Kings","Chennai Super Kings","MA Chidambaram Stadium","Won by 4 Wickets"
42,2023-04-26,"Mumbai Indians","Rajasthan Royals","Wankhede Stadium","Won by 6 Wickets"
43,2023-04-27,"Royal Challengers Bangalore","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Won by 18 Runs"
44,2023-04-28,"Delhi Capitals","Gujarat Titans","Narendra Modi Stadium","Won by 5 Runs"
45,2023-04-29,"No Result","Lucknow Super Giants","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Won by Wickets"
46,2023-04-30,"Mumbai Indians","Punjab Kings","Punjab Cricket Association IS Bindra Stadium","Won by 6 Wickets"
47,2023-05-01,"Kolkata Knight Riders","Sunrisers Hyderabad","Rajiv Gandhi International Stadium","Won by 5 Runs"
48,2023-05-01,"Gujarat Titans","Rajasthan Royals","Sawai Mansingh Stadium","Won by 9 Wickets"
49,2023-05-02,"Chennai Super Kings","Mumbai Indians","MA Chidambaram Stadium","Won by 6 Wickets"
50,2023-05-02,"Delhi Capitals","Royal Challengers Bangalore","Arun Jaitley Stadium","Won by 7 Wickets"
51,2023-05-03,"Gujarat Titans","Lucknow Super Giants","Narendra Modi Stadium","Won by 56 Runs"
52,2023-05-04,"Sunrisers Hyderabad","Rajasthan Royals","Sawai Mansingh Stadium","Won by 4 Wickets"
53,2023-05-05,"Kolkata Knight Riders","Punjab Kings","Eden Gardens","Won by 5 Wickets"
54,2023-05-06,"Mumbai Indians","Royal Challengers Bangalore","Wankhede Stadium","Won by 6 Wickets"
55,2023-05-07,"Chennai Super Kings","Delhi Capitals","MA Chidambaram Stadium","Won by 27 Runs"
56,2023-05-08,"Rajasthan Royals","Kolkata Knight Riders","Eden Gardens","Won by 9 Wickets"
57,2023-05-09,"Mumbai Indians","Gujarat Titans","Wankhede Stadium","Won by 27 Runs"
58,2023-05-09,"Lucknow Super Giants","Sunrisers Hyderabad","Rajiv Gandhi International Stadium","Won by 7 Wickets"
59,2023-05-10,"Punjab Kings","Delhi Capitals","Arun Jaitley Stadium","Won by 31 Runs"
60,2023-05-11,"Royal Challengers Bangalore","Rajasthan Royals","Sawai Mansingh Stadium","Won by 112 Runs"
61,2023-05-12,"Kolkata Knight Riders","Chennai Super Kings","MA Chidambaram Stadium","Won by 6 Wickets"
62,2023-05-13,"Gujarat Titans","Sunrisers Hyderabad","Narendra Modi Stadium","Won by 34 Runs"
63,2023-05-14,"Lucknow Super Giants","Mumbai Indians","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Won by 5 Runs"
64,2023-05-15,"Delhi Capitals","Punjab Kings","Himachal Pradesh Cricket Association Stadium","Won by 15 Runs"
65,2023-05-15,"Royal Challengers Bangalore","Sunrisers Hyderabad","Rajiv Gandhi International Stadium","Won by 8 Wickets"
66,2023-05-16,"Rajasthan Royals","Punjab Kings","Himachal Pradesh Cricket Association Stadium","Won by 4 Wickets"
67,2023-05-18,"Chennai Super Kings","Delhi Capitals","Arun Jaitley Stadium","Won by 77 Runs"
68,2023-05-19,"Lucknow Super Giants","Kolkata Knight Riders","Eden Gardens","Won by 1 Runs"
69,2023-05-20,"Mumbai Indians","Sunrisers Hyderabad","Wankhede Stadium","Won by 8 Wickets"
70,2023-05-23,"Gujarat Titans","Royal Challengers Bangalore","M Chinnaswamy Stadium","Won by 6 Wickets"
